,SalePrice,Neighborhood,Year Built
0,"215,000",,
1,"105,000",,
2,"172,000",,
3,"244,000",,
4,"189,900",,
5,"195,500",,
6,"213,500",,
7,"191,500",,
8,"236,500",,
9,"189,000",,
10,"175,900",,
11,"185,000",,
12,"180,400",,
13,"171,500",,
14,"212,000",,
15,"538,000",,
16,"164,000",,
17,"394,432",,
18,"141,000",,
19,"210,000",,
20,"190,000",,
21,"170,000",,
22,"216,000",,
23,"149,000",,
24,"149,900",,
25,"142,000",,
26,"126,000",,
27,"115,000",,
28,"184,000",,
29,"96,000",,
30,"105,500",,
31,"88,000",,
32,"127,500",,
33,"149,900",,
34,"120,000",,
35,"146,000",,
36,"376,162",,
37,"306,000",,
38,"395,192",,
39,"290,941",,
40,"220,000",,
41,"275,000",,
42,"259,000",,
43,"214,000",,
44,"611,657",,
45,"224,000",,
46,"500,000",,
47,"320,000",,
48,"319,900",,
49,"205,000",,
50,"175,500",,
51,"199,500",,
52,"160,000",,
53,"192,000",,
54,"184,500",,
55,"216,500",,
56,"185,088",,
57,"180,000",,
58,"222,500",,
59,"333,168",,
60,"355,000",,
61,"260,400",,
62,"325,000",,
63,"290,000",,
64,"221,000",,
65,"410,000",,
66,"221,500",,
67,"204,500",,
68,"215,200",,
69,"262,500",,
70,"254,900",,
71,"271,500",,
72,"233,000",,
73,"181,000",,
74,"205,000",,
75,"143,000",,
76,"189,000",,
77,"99,500",,
78,"125,000",,
79,"194,500",,
80,"152,000",,
81,"171,000",,
82,"67,500",,
83,"112,000",,
84,"148,000",,
85,"138,500",,
86,"122,000",,
87,"133,000",,
88,"127,000",,
89,"169,000",,
90,"190,000",,
91,"362,500",,
92,"285,000",,
93,"260,000",,
94,"190,000",,
95,"155,000",,
96,"151,000",,
97,"149,500",,
98,"152,000",,
99,"222,000",,
100,"177,500",,
101,"177,000",,
102,"155,000",,
103,"147,110",,
104,"267,916",,
105,"254,000",,
106,"155,000",,
107,"206,000",,
108,"130,500",,
109,"230,000",,
110,"218,500",,
111,"243,500",,
112,"205,000",,
113,"212,500",,
114,"196,500",,
115,"197,500",,
116,"171,000",,
117,"142,250",,
118,"143,000",,
119,"128,950",,
120,"159,000",,
121,"178,900",,
122,"136,300",,
123,"180,500",,
124,"137,500",,
125,"84,900",,
126,"142,125",,
127,"197,600",,
128,"172,500",,
129,"116,500",,
130,"76,500",,
131,"128,000",,
132,"153,000",,
133,"132,000",,
134,"178,000",,
135,"154,300",,
136,"180,000",,
137,"190,000",,
138,"135,000",,
139,"214,000",,
140,"136,000",,
141,"165,500",,
142,"145,000",,
143,"148,000",,
144,"142,000",,
145,"167,500",,
146,"108,538",,
147,"159,500",,
148,"108,000",,
149,"135,000",,
150,"122,500",,
151,"119,000",,
152,"109,000",,
153,"105,000",,
154,"107,500",,
155,"144,900",,
156,"129,000",,
157,"97,500",,
158,"144,000",,
159,"162,000",,
160,"242,000",,
161,"132,000",,
162,"154,000",,
163,"166,000",,
164,"134,800",,
165,"160,000",,
166,"148,000",,
167,"192,000",,
168,"155,000",,
169,"80,400",,
170,"96,500",,
